Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-3.957110785589428,-3.957110785589428,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,A,-2.748456840277083,-2.748456840277083,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,A,-1.7127826546828653,-1.7127826546828653,1,3,-1,restoration,2025-01-17 17:12:283
U._sp,A,-4.56279227144231,-4.56279227144231,1,3,-1,restoration,2025-01-17 17:12:283
L._subulatum,A,-3.2971482649849255,-3.2971482649849255,1,3,-1,restoration,2025-01-17 17:12:283
Other_species,A,-2.8553238520272646,-2.8553238520272646,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,A,-3.126546126981865,-3.126546126981865,1,3,-1,natural,2025-01-17 17:12:283
H._syriacum,A,-3.862793794012535,-3.862793794012535,1,3,-1,natural,2025-01-17 17:12:283
T._zygis,A,-3.707736285316504,-3.707736285316504,1,3,-1,natural,2025-01-17 17:12:283
U._sp,A,-5.195627255431103,-5.195627255431103,1,3,-1,natural,2025-01-17 17:12:283
L._subulatum,A,-5.22825752100381,-5.22825752100381,1,3,-1,natural,2025-01-17 17:12:283
Other_species,A,-3.6269208772863117,-3.6269208772863117,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,A,-3.679783982482641,-3.679783982482641,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,A,-2.445757673186912,-2.445757673186912,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,A,-1.3472370442681894,-1.3472370442681894,1,3,-1,restoration,2025-01-17 17:12:263
U._sp,A,-4.419622417018435,-4.419622417018435,1,3,-1,restoration,2025-01-17 17:12:263
L._subulatum,A,-3.4401930438608033,-3.4401930438608033,1,3,-1,restoration,2025-01-17 17:12:263
Other_species,A,-2.3718708275701164,-2.3718708275701164,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,A,-2.6464133924368305,-2.6464133924368305,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,A,-3.5537125145209263,-3.5537125145209263,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,A,-3.9831289902559157,-3.9831289902559157,1,3,-1,natural,2025-01-17 17:12:263
U._sp,A,-4.593312102091259,-4.593312102091259,1,3,-1,natural,2025-01-17 17:12:263
L._subulatum,A,-4.779257198510344,-4.779257198510344,1,3,-1,natural,2025-01-17 17:12:263
Other_species,A,-3.282641669228867,-3.282641669228867,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,A,-4.333953348778439,-4.333953348778439,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,A,-2.59452484445725,-2.59452484445725,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,A,-1.5421690322452166,-1.5421690322452166,1,3,-1,restoration,2025-01-17 17:12:233
U._sp,A,-3.915897353772048,-3.915897353772048,1,3,-1,restoration,2025-01-17 17:12:233
L._subulatum,A,-3.757956282184424,-3.757956282184424,1,3,-1,restoration,2025-01-17 17:12:233
Other_species,A,-2.915795438648547,-2.915795438648547,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,A,-2.7994537072836083,-2.7994537072836083,1,3,-1,natural,2025-01-17 17:12:233
H._syriacum,A,-3.2053869364916956,-3.2053869364916956,1,3,-1,natural,2025-01-17 17:12:233
T._zygis,A,-3.9777081736927795,-3.9777081736927795,1,3,-1,natural,2025-01-17 17:12:233
U._sp,A,-5.166650916474056,-5.166650916474056,1,3,-1,natural,2025-01-17 17:12:233
L._subulatum,A,-4.912937713064179,-4.912937713064179,1,3,-1,natural,2025-01-17 17:12:233
Other_species,A,-3.293033882299406,-3.293033882299406,1,3,-1,natural,2025-01-17 17:12:233
H._squamatum,A,-3.366963536276364,-3.366963536276364,1,3,-1,restoration,2025-01-17 17:12:213
H._syriacum,A,-2.6652328778741667,-2.6652328778741667,1,3,-1,restoration,2025-01-17 17:12:213
T._zygis,A,-1.5592437146758276,-1.5592437146758276,1,3,-1,restoration,2025-01-17 17:12:213
