Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,1.54414572782422,1.54414572782422,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,T._zygis,0.343743942828095,0.343743942828095,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,T._zygis,1.32453903731672,1.32453903731672,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,U._sp,1.88828302543742,1.88828302543742,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,U._sp,0.159357013092681,0.159357013092681,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,U._sp,1.70278021243505,1.70278021243505,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,L._subulatum,0.840035191805808,0.840035191805808,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,L._subulatum,0.839723291198378,0.839723291198378,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,L._subulatum,0.610234675608755,0.610234675608755,1,3,-1,restoration,2025-01-17 17:12:283
U._sp,L._subulatum,-0.69253815934746,-0.69253815934746,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,Other_species,1.09819961804097,1.09819961804097,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,Other_species,1.4799086622927,1.4799086622927,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,Other_species,1.64487599689823,1.64487599689823,1,3,-1,restoration,2025-01-17 17:12:283
U._sp,Other_species,0.96861784209124,0.96861784209124,1,3,-1,restoration,2025-01-17 17:12:283
L._subulatum,Other_species,1.78027792660233,1.78027792660233,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,H._syriacum,0.914065149734379,0.914065149734379,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,T._zygis,1.53144910433911,1.53144910433911,1,3,-1,natural,2025-01-17 17:12:283
H._syriacum,T._zygis,1.31389384236956,1.31389384236956,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,U._sp,2.33332900251865,2.33332900251865,1,3,-1,natural,2025-01-17 17:12:283
H._syriacum,U._sp,2.81862763634035,2.81862763634035,1,3,-1,natural,2025-01-17 17:12:283
T._zygis,U._sp,1.65577602454061,1.65577602454061,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,L._subulatum,1.18274156188418,1.18274156188418,1,3,-1,natural,2025-01-17 17:12:283
H._syriacum,L._subulatum,1.15613666611619,1.15613666611619,1,3,-1,natural,2025-01-17 17:12:283
T._zygis,L._subulatum,1.36074500473746,1.36074500473746,1,3,-1,natural,2025-01-17 17:12:283
U._sp,L._subulatum,1.66706696217622,1.66706696217622,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,Other_species,1.4812734016041,1.4812734016041,1,3,-1,natural,2025-01-17 17:12:283
H._syriacum,Other_species,1.47706710358275,1.47706710358275,1,3,-1,natural,2025-01-17 17:12:283
T._zygis,Other_species,1.70277622300443,1.70277622300443,1,3,-1,natural,2025-01-17 17:12:283
U._sp,Other_species,2.09769830702882,2.09769830702882,1,3,-1,natural,2025-01-17 17:12:283
L._subulatum,Other_species,1.91301604378178,1.91301604378178,1,3,-1,natural,2025-01-17 17:12:283
H._squamatum,H._syriacum,1.23494652436142,1.23494652436142,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,T._zygis,0.246804756633941,0.246804756633941,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,T._zygis,1.03281383317384,1.03281383317384,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,U._sp,0.898433226503739,0.898433226503739,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,U._sp,0.666271145637937,0.666271145637937,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,U._sp,1.25477709197055,1.25477709197055,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,L._subulatum,1.2627978893931,1.2627978893931,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,L._subulatum,0.530312643462626,0.530312643462626,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,L._subulatum,0.430245570081353,0.430245570081353,1,3,-1,restoration,2025-01-17 17:12:263
U._sp,L._subulatum,-0.488753256817217,-0.488753256817217,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,Other_species,0.76752889929609,0.76752889929609,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,Other_species,0.906235632274477,0.906235632274477,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,Other_species,1.1353627855085,1.1353627855085,1,3,-1,restoration,2025-01-17 17:12:263
U._sp,Other_species,1.93086133351743,1.93086133351743,1,3,-1,restoration,2025-01-17 17:12:263
L._subulatum,Other_species,1.89486533223819,1.89486533223819,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,H._syriacum,0.510539745189524,0.510539745189524,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,T._zygis,1.50168918627208,1.50168918627208,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,T._zygis,1.56362877658991,1.56362877658991,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,U._sp,2.04267663750872,2.04267663750872,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,U._sp,2.19986007095355,2.19986007095355,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,U._sp,1.23484637169102,1.23484637169102,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,L._subulatum,1.08029086629784,1.08029086629784,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,L._subulatum,0.626231619743468,0.626231619743468,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,L._subulatum,1.46292841463778,1.46292841463778,1,3,-1,natural,2025-01-17 17:12:263
U._sp,L._subulatum,1.42123241832604,1.42123241832604,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,Other_species,1.09111937791708,1.09111937791708,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,Other_species,1.29839827618401,1.29839827618401,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,Other_species,1.58546271119024,1.58546271119024,1,3,-1,natural,2025-01-17 17:12:263
U._sp,Other_species,2.06642559664596,2.06642559664596,1,3,-1,natural,2025-01-17 17:12:263
L._subulatum,Other_species,1.63051245085367,1.63051245085367,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,H._syriacum,2.0176437480751,2.0176437480751,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,T._zygis,0.3157252585438,0.3157252585438,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,T._zygis,1.06043156755909,1.06043156755909,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,U._sp,0.804369933750511,0.804369933750511,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,U._sp,-0.229398102601166,-0.229398102601166,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,U._sp,1.03311554869993,1.03311554869993,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,L._subulatum,1.10682992878541,1.10682992878541,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,L._subulatum,0.686072970568917,0.686072970568917,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,L._subulatum,0.718291958266769,0.718291958266769,1,3,-1,restoration,2025-01-17 17:12:233
U._sp,L._subulatum,-0.258971679307584,-0.258971679307584,1,3,-1,restoration,2025-01-17 17:12:233
