Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,T._zygis,-0.13159351501589236,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,H._syriacum,U._sp,0.1495271373637376,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,H._syriacum,L._subulatum,0.10565994475433842,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,H._syriacum,Other_species,-0.44358081154706736,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,T._zygis,U._sp,-1.0430582214362776,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,T._zygis,L._subulatum,0.05673972336510138,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,T._zygis,Other_species,-0.11635395367208312,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,U._sp,L._subulatum,1.2332728373955717,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,U._sp,Other_species,0.22648716347493547,1,3,-1,restoration,2025-01-17 17:12:283
H._squamatum,L._subulatum,Other_species,-0.8191376970604539,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,T._zygis,U._sp,0.4937189187847533,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,T._zygis,L._subulatum,-0.13377368633119893,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,T._zygis,Other_species,-1.0046515132237264,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,U._sp,L._subulatum,-1.1568002558041415,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,U._sp,Other_species,0.35926291751513867,1,3,-1,restoration,2025-01-17 17:12:283
H._syriacum,L._subulatum,Other_species,-0.60948542305235065,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,U._sp,L._subulatum,0.7882661232914764,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,U._sp,Other_species,-0.28161470497788965,1,3,-1,restoration,2025-01-17 17:12:283
T._zygis,L._subulatum,Other_species,-0.1571058324316377,1,3,-1,restoration,2025-01-17 17:12:283
