n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
85,675.3438851083079,0.9599455513302367,0.47457033809304544,733.7634954755742,732.4269674523854,1606.4614124435736,1,3,-1,1,1000,200,natural,2025-02-18 10:23:063
126,628.1535555992731,0.943384146221016,0.5983237660602857,822.6220877860886,827.5325634350597,7676.917477168328,1,1,-1,1,1000000,200,natural,2025-01-27 22:13:523
126,315.09616884346593,0.9706718594068756,0.7042215136169316,311.13120605167245,323.7620978700004,328.9723659190148,1,2,-1,1,1000000,200,natural,2025-01-27 22:13:523
127,200.86437457450467,0.9816784108135114,0.7266208038342364,196.8239888767974,209.47071976145213,208.99775846854817,1,3,-1,1,1000000,200,natural,2025-01-27 22:13:523
126,624.3143433347497,0.935899752825799,0.6068520761990092,856.6383972236373,860.808176372251,9755.422648169468,1,1,-1,1,1000000,200,natural,2025-01-27 21:41:173
127,302.9788936341789,0.9685855543701728,0.7434659441087432,300.62852120368245,311.9217040155309,318.42916022650195,1,2,-1,1,1000000,200,natural,2025-01-27 21:41:173
127,213.29799599237984,0.9782086864872396,0.750401750078441,213.94541009532708,225.52035883385312,251.2584029451388,1,3,-1,1,1000000,200,natural,2025-01-27 21:41:173
125,594.5219622544255,0.951228794542468,0.552115616651533,872.2152381620434,874.803627870991,9276.683958337824,1,1,-1,1,1000000,200,natural,2025-01-27 21:09:223
127,368.96383879081566,0.9633822686186918,0.717905743845072,357.5784012367698,369.1044325743243,337.62947846981007,1,2,-1,1,1000000,200,natural,2025-01-27 21:09:223
127,255.9425551270481,0.9664233290442016,0.7331308280185042,250.57854422282145,262.01516878740813,260.14468275153223,1,3,-1,1,1000000,200,natural,2025-01-27 21:09:223
126,638.8066670997626,0.9322305501415392,0.5775517393420558,911.2796323292848,912.6028879084378,17200.624523434413,1,1,-1,1,1000000,200,natural,2025-01-27 20:37:083
126,310.36038422249044,0.9679156725483312,0.7172576459524228,318.2088186982839,327.5571836964939,531.566876580609,1,2,-1,1,1000000,200,natural,2025-01-27 20:37:083
126,216.36480536800795,0.9757269796797504,0.713202134237792,231.8299187655408,239.747247668196,403.4041873482395,1,3,-1,1,1000000,200,natural,2025-01-27 20:37:083
126,594.7615843052449,0.9488967198643148,0.5708846740374173,895.1461893399763,899.4278920400902,12330.041006179346,1,1,-1,1,1000000,200,natural,2025-01-27 20:00:523
127,288.3606636442875,0.9789731772340678,0.7098133764681684,282.98715074854266,297.34637357359054,294.91800896257604,1,2,-1,1,1000000,200,natural,2025-01-27 20:00:523
127,227.37364640247483,0.9788180557458348,0.7242162384986471,225.1135097557843,238.92812912578196,250.6719232298473,1,3,-1,1,1000000,200,natural,2025-01-27 20:00:523
125,613.0764015494638,0.941656194398807,0.6090054042733754,832.6498087165185,837.1525005227084,3784.9948689078888,1,1,-1,1,1000000,200,natural,2025-01-27 19:25:493
127,288.17130660141936,0.9743667983374044,0.7169303955087306,285.25742889210846,297.4358574431349,305.69173582886174,1,2,-1,1,1000000,200,natural,2025-01-27 19:25:493
127,158.5580379910797,0.9917788372856616,0.7318428319364906,161.04144119708013,172.8849681921243,205.25230050162705,1,3,-1,1,1000000,200,natural,2025-01-27 19:25:493
126,625.1350171664551,0.9390212592591812,0.566581460965322,860.0447982643824,864.3745131036592,4928.35624089128,1,1,-1,1,1000000,200,natural,2025-01-27 18:54:273
