Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,T._zygis,0.3226499522580204,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,H._syriacum,U._sp,0.6621779584135291,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,H._syriacum,L._subulatum,-0.8785340813317136,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,H._syriacum,O._tridentata,-0.3979218105528138,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,H._syriacum,Other_species,0.0696494004840954,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,T._zygis,U._sp,-1.3334347569846052,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,T._zygis,L._subulatum,0.5705477662743372,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,T._zygis,O._tridentata,1.1406204718398076,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,T._zygis,Other_species,-0.09469301567810597,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,U._sp,L._subulatum,0.9884813864767349,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,U._sp,O._tridentata,2.4677313543274817,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,U._sp,Other_species,0.3391898776269749,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,L._subulatum,O._tridentata,-0.7922454306674517,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,L._subulatum,Other_species,-0.7413619642439997,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,O._tridentata,Other_species,0.5829529565075708,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,T._zygis,U._sp,0.601025289306536,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,T._zygis,L._subulatum,-0.0367488190051216,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,T._zygis,O._tridentata,0.08289467988064518,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,T._zygis,Other_species,-0.30774014488360507,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,U._sp,L._subulatum,-0.43781661899171453,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,U._sp,O._tridentata,-0.3089412816477791,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,U._sp,Other_species,-0.9117538616945202,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,L._subulatum,O._tridentata,-0.2840039939980324,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,L._subulatum,Other_species,-0.47059232825497227,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,O._tridentata,Other_species,-0.35712752735328146,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,U._sp,L._subulatum,0.8681410600217433,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,U._sp,O._tridentata,-1.8079555497064137,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,U._sp,Other_species,-0.0012487276364223272,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,L._subulatum,O._tridentata,2.220862564477764,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,L._subulatum,Other_species,-0.11896536871056602,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,O._tridentata,Other_species,-0.1560818146301187,1,3,-1,restoration,2025-01-09 18:44:243
U._sp,L._subulatum,O._tridentata,-0.7581643274795945,1,3,-1,restoration,2025-01-09 18:44:243
U._sp,L._subulatum,Other_species,-0.9597584374291327,1,3,-1,restoration,2025-01-09 18:44:243
U._sp,O._tridentata,Other_species,1.2117716272740005,1,3,-1,restoration,2025-01-09 18:44:243
L._subulatum,O._tridentata,Other_species,-1.921217630611342,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,H._syriacum,T._zygis,-0.5011076519360974,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,H._syriacum,U._sp,-0.42120053206202424,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,H._syriacum,L._subulatum,0.11853671777945225,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,H._syriacum,O._tridentata,-0.8628543956125849,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,H._syriacum,Other_species,0.6408073594073996,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,T._zygis,U._sp,-0.48367763123009233,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,T._zygis,L._subulatum,-0.08531356780037136,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,T._zygis,O._tridentata,-0.6648159027003102,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,T._zygis,Other_species,-0.5369881453096669,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,U._sp,L._subulatum,-0.6984275336352391,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,U._sp,O._tridentata,-0.8404586124613314,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,U._sp,Other_species,0.07934259116458091,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,L._subulatum,O._tridentata,0.4153548576728334,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,L._subulatum,Other_species,-0.9996586133035037,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,O._tridentata,Other_species,0.1654929437161935,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,T._zygis,U._sp,-0.5639713072471942,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,T._zygis,L._subulatum,-0.9551473027947758,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,T._zygis,O._tridentata,-0.06909384735236095,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,T._zygis,Other_species,-0.37655130207447934,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,U._sp,L._subulatum,-0.15843596957363826,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,U._sp,O._tridentata,0.4742091617758617,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,U._sp,Other_species,-0.729875092109206,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,L._subulatum,O._tridentata,1.00091762652121,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,L._subulatum,Other_species,-0.553719545902515,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,O._tridentata,Other_species,-0.12419962345610487,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,U._sp,L._subulatum,-0.70761633789769,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,U._sp,O._tridentata,-0.3303875583065083,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,U._sp,Other_species,-0.2811407832593249,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,L._subulatum,O._tridentata,-0.22811911502611926,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,L._subulatum,Other_species,-0.3537940398783616,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,O._tridentata,Other_species,-0.6958141987944222,1,3,-1,natural,2025-01-09 18:44:243
U._sp,L._subulatum,O._tridentata,-1.2780016420055622,1,3,-1,natural,2025-01-09 18:44:243
U._sp,L._subulatum,Other_species,0.14090552622303462,1,3,-1,natural,2025-01-09 18:44:243
U._sp,O._tridentata,Other_species,-1.585417026547926,1,3,-1,natural,2025-01-09 18:44:243
L._subulatum,O._tridentata,Other_species,-1.1862285598977393,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,H._syriacum,T._zygis,0.18254676022278638,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,H._syriacum,U._sp,0.7602839632568793,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,H._syriacum,L._subulatum,-0.39369642518864606,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,H._syriacum,O._tridentata,-0.997853680923396,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,H._syriacum,Other_species,-0.32403907722222147,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,T._zygis,U._sp,-0.4429148830822282,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,T._zygis,L._subulatum,0.2810905732443769,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,T._zygis,O._tridentata,2.786206787336299,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,T._zygis,Other_species,-0.243989813685666,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,U._sp,L._subulatum,2.147782106192457,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,U._sp,O._tridentata,0.9883761579729495,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,U._sp,Other_species,-1.4427739073620345,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,L._subulatum,O._tridentata,-0.7961912114130012,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,L._subulatum,Other_species,-0.6532171101493832,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,O._tridentata,Other_species,0.6031830018318091,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,T._zygis,U._sp,-0.24186772973997292,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,T._zygis,L._subulatum,0.2960175549365152,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,T._zygis,O._tridentata,1.345511034534723,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,T._zygis,Other_species,-0.509712597321407,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,U._sp,L._subulatum,-2.36595702355003,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,U._sp,O._tridentata,-0.37294119152381905,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,U._sp,Other_species,0.2599915829943234,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,L._subulatum,O._tridentata,-0.5724830927892572,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,L._subulatum,Other_species,-0.21982852085061522,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,O._tridentata,Other_species,-1.0093627532675644,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,U._sp,L._subulatum,-0.9003462234759172,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,U._sp,O._tridentata,-1.9459695294496504,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,U._sp,Other_species,-0.33066101702674544,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,L._subulatum,O._tridentata,-0.27050761305640775,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,L._subulatum,Other_species,-0.4989006729479642,1,3,-1,restoration,2025-01-09 18:44:203
