Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-3.7548563290869534,-3.7548563290869534,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,A,-2.651651789947553,-2.651651789947553,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,A,-1.372177450640087,-1.372177450640087,1,3,-1,restoration,2025-01-17 19:38:173
U._sp,A,-4.02290731083589,-4.02290731083589,1,3,-1,restoration,2025-01-17 19:38:173
L._subulatum,A,-3.5550566873267586,-3.5550566873267586,1,3,-1,restoration,2025-01-17 19:38:173
O._tridentata,A,-4.32317765578547,-4.32317765578547,1,3,-1,restoration,2025-01-17 19:38:173
P._albicans,A,-4.182383741099663,-4.182383741099663,1,3,-1,restoration,2025-01-17 19:38:173
Other_species,A,-2.743298899683239,-2.743298899683239,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,A,-2.823941803532262,-2.823941803532262,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,A,-3.655281853827213,-3.655281853827213,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,A,-3.9341213761371705,-3.9341213761371705,1,3,-1,natural,2025-01-17 19:38:173
U._sp,A,-4.831652591441422,-4.831652591441422,1,3,-1,natural,2025-01-17 19:38:173
L._subulatum,A,-4.874155107022058,-4.874155107022058,1,3,-1,natural,2025-01-17 19:38:173
O._tridentata,A,-6.402848742828928,-6.402848742828928,1,3,-1,natural,2025-01-17 19:38:173
P._albicans,A,-6.645285721097381,-6.645285721097381,1,3,-1,natural,2025-01-17 19:38:173
Other_species,A,-3.594218292732362,-3.594218292732362,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,A,-3.3570058543198207,-3.3570058543198207,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,A,-2.234382104408424,-2.234382104408424,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,A,-1.3629538854526317,-1.3629538854526317,1,3,-1,restoration,2025-01-17 19:38:103
U._sp,A,-4.487396578832585,-4.487396578832585,1,3,-1,restoration,2025-01-17 19:38:103
L._subulatum,A,-3.519380063054934,-3.519380063054934,1,3,-1,restoration,2025-01-17 19:38:103
O._tridentata,A,-3.022933211211163,-3.022933211211163,1,3,-1,restoration,2025-01-17 19:38:103
P._albicans,A,-3.9266428868478034,-3.9266428868478034,1,3,-1,restoration,2025-01-17 19:38:103
Other_species,A,-2.7815857210177244,-2.7815857210177244,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,A,-2.805136345818746,-2.805136345818746,1,3,-1,natural,2025-01-17 19:38:103
H._syriacum,A,-4.083756364304815,-4.083756364304815,1,3,-1,natural,2025-01-17 19:38:103
T._zygis,A,-4.005564953108557,-4.005564953108557,1,3,-1,natural,2025-01-17 19:38:103
U._sp,A,-4.810713513930525,-4.810713513930525,1,3,-1,natural,2025-01-17 19:38:103
L._subulatum,A,-4.369212659582893,-4.369212659582893,1,3,-1,natural,2025-01-17 19:38:103
O._tridentata,A,-5.733997922883961,-5.733997922883961,1,3,-1,natural,2025-01-17 19:38:103
P._albicans,A,-6.655615508196558,-6.655615508196558,1,3,-1,natural,2025-01-17 19:38:103
Other_species,A,-3.599953511903935,-3.599953511903935,1,3,-1,natural,2025-01-17 19:38:103
H._squamatum,A,-3.7705610263018245,-3.7705610263018245,1,3,-1,restoration,2025-01-17 19:38:043
H._syriacum,A,-2.6166122839546655,-2.6166122839546655,1,3,-1,restoration,2025-01-17 19:38:043
T._zygis,A,-1.1384695868411423,-1.1384695868411423,1,3,-1,restoration,2025-01-17 19:38:043
U._sp,A,-3.8432662831489632,-3.8432662831489632,1,3,-1,restoration,2025-01-17 19:38:043
L._subulatum,A,-3.6271234008957567,-3.6271234008957567,1,3,-1,restoration,2025-01-17 19:38:043
O._tridentata,A,-3.8099516056914418,-3.8099516056914418,1,3,-1,restoration,2025-01-17 19:38:043
P._albicans,A,-4.367664480959342,-4.367664480959342,1,3,-1,restoration,2025-01-17 19:38:043
Other_species,A,-2.17399358133085,-2.17399358133085,1,3,-1,restoration,2025-01-17 19:38:043
