Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,1.65434993946354,1.65434993946354,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,0.0558134622557538,0.0558134622557538,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,0.998132414776747,0.998132414776747,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,U._sp,1.58997604564292,1.58997604564292,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,U._sp,0.305940589895425,0.305940589895425,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,U._sp,1.22833914235489,1.22833914235489,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,L._subulatum,0.81595846991552,0.81595846991552,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,L._subulatum,1.08701534245368,1.08701534245368,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,L._subulatum,0.15722287283537,0.15722287283537,1,3,-1,restoration,2025-01-17 19:38:173
U._sp,L._subulatum,0.0793844409806355,0.0793844409806355,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,O._tridentata,-0.999964863517469,-0.999964863517469,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,O._tridentata,0.32546916898471,0.32546916898471,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,O._tridentata,-0.14029075901728,-0.14029075901728,1,3,-1,restoration,2025-01-17 19:38:173
U._sp,O._tridentata,1.02910768634589,1.02910768634589,1,3,-1,restoration,2025-01-17 19:38:173
L._subulatum,O._tridentata,-0.289996491855485,-0.289996491855485,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,P._albicans,-1.58993168429599,-1.58993168429599,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,P._albicans,0.171796473534183,0.171796473534183,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,P._albicans,1.92272855699731,1.92272855699731,1,3,-1,restoration,2025-01-17 19:38:173
U._sp,P._albicans,-2.01619694458364,-2.01619694458364,1,3,-1,restoration,2025-01-17 19:38:173
L._subulatum,P._albicans,3.31236817624988,3.31236817624988,1,3,-1,restoration,2025-01-17 19:38:173
O._tridentata,P._albicans,-1.03919371691965,-1.03919371691965,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,Other_species,0.882651242524648,0.882651242524648,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,Other_species,1.1462419963514,1.1462419963514,1,3,-1,restoration,2025-01-17 19:38:173
T._zygis,Other_species,1.10491595982926,1.10491595982926,1,3,-1,restoration,2025-01-17 19:38:173
