Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,T._zygis,0.16752394784881283,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,H._syriacum,U._sp,-0.15345609763165782,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,H._syriacum,L._subulatum,0.049600425129706076,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,H._syriacum,O._tridentata,-1.178690668047086,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,H._syriacum,P._albicans,0.8357739376013282,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,H._syriacum,Other_species,-0.26555842628493115,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,U._sp,-0.5693096951852429,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,L._subulatum,-0.6418050857614385,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,O._tridentata,1.9562017760679125,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,P._albicans,0.3886371572480141,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,T._zygis,Other_species,-0.10460523016126284,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,U._sp,L._subulatum,0.8237002728122486,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,U._sp,O._tridentata,1.494691479177692,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,U._sp,P._albicans,-0.022089856148646513,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,U._sp,Other_species,-0.5475808813733981,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,L._subulatum,O._tridentata,-1.034004548133156,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,L._subulatum,P._albicans,-1.2545013136163405,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,L._subulatum,Other_species,0.03455807654154269,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,O._tridentata,P._albicans,-0.005638095055392092,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,O._tridentata,Other_species,0.3195156565684263,1,3,-1,restoration,2025-01-17 19:38:173
H._squamatum,P._albicans,Other_species,-1.3606845612554246,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,U._sp,-0.23912449394812538,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,L._subulatum,0.336112199109953,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,O._tridentata,0.5122661341762614,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,P._albicans,-0.7703724649340494,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,T._zygis,Other_species,-0.3471517546582959,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,U._sp,L._subulatum,-1.1137955715010974,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,U._sp,O._tridentata,-0.02178486098493057,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,U._sp,P._albicans,-0.16230584635457349,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,U._sp,Other_species,0.1773032863379335,1,3,-1,restoration,2025-01-17 19:38:173
H._syriacum,L._subulatum,O._tridentata,-0.02530984270347431,1,3,-1,restoration,2025-01-17 19:38:173
