Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,1.58533096826791,1.58533096826791,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,0.321861224491195,0.321861224491195,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,T._zygis,1.15363834565046,1.15363834565046,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,1.5257376027362901,1.5257376027362901,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,U._sp,0.39882855657477,0.39882855657477,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,U._sp,1.51423869989643,1.51423869989643,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,L._subulatum,0.869448800293186,0.869448800293186,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,L._subulatum,0.514201152952965,0.514201152952965,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,L._subulatum,0.952260713534977,0.952260713534977,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,L._subulatum,0.114339649749203,0.114339649749203,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,O._tridentata,-0.891997709935525,-0.891997709935525,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,O._tridentata,1.58970834081831,1.58970834081831,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,O._tridentata,0.0744603616180815,0.0744603616180815,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,O._tridentata,1.9574922652177,1.9574922652177,1,3,-1,restoration,2025-01-17 23:12:103
L._subulatum,O._tridentata,-0.923680012994139,-0.923680012994139,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,P._albicans,-1.43322621860855,-1.43322621860855,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,P._albicans,1.31467857332686,1.31467857332686,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,P._albicans,2.69388064759494,2.69388064759494,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,P._albicans,-1.72654628241488,-1.72654628241488,1,3,-1,restoration,2025-01-17 23:12:103
L._subulatum,P._albicans,2.87932884621268,2.87932884621268,1,3,-1,restoration,2025-01-17 23:12:103
O._tridentata,P._albicans,-0.894439108354948,-0.894439108354948,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,S._tenacissima,-1.49892445684251,-1.49892445684251,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,S._tenacissima,1.31180675518112,1.31180675518112,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,S._tenacissima,1.26218515496009,1.26218515496009,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,S._tenacissima,-0.878180633006413,-0.878180633006413,1,3,-1,restoration,2025-01-17 23:12:103
L._subulatum,S._tenacissima,1.26881093855486,1.26881093855486,1,3,-1,restoration,2025-01-17 23:12:103
O._tridentata,S._tenacissima,1.88234968017468,1.88234968017468,1,3,-1,restoration,2025-01-17 23:12:103
P._albicans,S._tenacissima,1.32686292740821,1.32686292740821,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,Other_species,1.205203242355,1.205203242355,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,Other_species,1.53041223392992,1.53041223392992,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,Other_species,1.45361295994482,1.45361295994482,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,Other_species,1.95766851317684,1.95766851317684,1,3,-1,restoration,2025-01-17 23:12:103
L._subulatum,Other_species,1.79969784805161,1.79969784805161,1,3,-1,restoration,2025-01-17 23:12:103
O._tridentata,Other_species,2.3649427237701,2.3649427237701,1,3,-1,restoration,2025-01-17 23:12:103
P._albicans,Other_species,0.99613222727442,0.99613222727442,1,3,-1,restoration,2025-01-17 23:12:103
S._tenacissima,Other_species,2.74300525037178,2.74300525037178,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,0.895598141978585,0.895598141978585,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,T._zygis,1.49140347817138,1.49140347817138,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,T._zygis,1.36975063184838,1.36975063184838,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,U._sp,2.10366420159543,2.10366420159543,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,U._sp,2.68480922706594,2.68480922706594,1,3,-1,natural,2025-01-17 23:12:103
T._zygis,U._sp,1.27967995466486,1.27967995466486,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,L._subulatum,0.811050250076347,0.811050250076347,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,L._subulatum,0.771578606770673,0.771578606770673,1,3,-1,natural,2025-01-17 23:12:103
T._zygis,L._subulatum,1.87588201780166,1.87588201780166,1,3,-1,natural,2025-01-17 23:12:103
U._sp,L._subulatum,1.90755975859965,1.90755975859965,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,O._tridentata,2.13745360948329,2.13745360948329,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,O._tridentata,2.0337697831452,2.0337697831452,1,3,-1,natural,2025-01-17 23:12:103
T._zygis,O._tridentata,1.77791285185941,1.77791285185941,1,3,-1,natural,2025-01-17 23:12:103
U._sp,O._tridentata,2.60696591605105,2.60696591605105,1,3,-1,natural,2025-01-17 23:12:103
L._subulatum,O._tridentata,-0.227825293549152,-0.227825293549152,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,P._albicans,1.13273815924866,1.13273815924866,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,P._albicans,0.907529789306869,0.907529789306869,1,3,-1,natural,2025-01-17 23:12:103
T._zygis,P._albicans,1.08525155284007,1.08525155284007,1,3,-1,natural,2025-01-17 23:12:103
