Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,T._zygis,-0.12932873515793367,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,U._sp,0.34052975625249277,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,L._subulatum,-0.5090777219396406,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,O._tridentata,-1.112713312847412,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,P._albicans,1.0395321988470114,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,S._tenacissima,1.4202191699403166,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,H._syriacum,Other_species,-0.3325097517316127,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,U._sp,-0.33426244516997256,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,L._subulatum,-0.11693426327135936,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,O._tridentata,2.5829359580179765,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,P._albicans,0.37216557193108796,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,S._tenacissima,1.4719300567923626,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,T._zygis,Other_species,-0.3364688484194514,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,L._subulatum,-0.513667813660479,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,O._tridentata,-0.2511515120943783,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,P._albicans,-0.04574162695420345,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,S._tenacissima,0.11170917235805683,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,U._sp,Other_species,-0.4021514918717329,1,3,-1,restoration,2025-01-17 23:12:103
