Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-3.603520465522502,-3.603520465522502,1,3,-1,restoration,2025-01-09 18:44:243
H._syriacum,A,-2.4406776857766768,-2.4406776857766768,1,3,-1,restoration,2025-01-09 18:44:243
T._zygis,A,-1.345203114545633,-1.345203114545633,1,3,-1,restoration,2025-01-09 18:44:243
U._sp,A,-4.260245171833639,-4.260245171833639,1,3,-1,restoration,2025-01-09 18:44:243
L._subulatum,A,-3.8965541410837776,-3.8965541410837776,1,3,-1,restoration,2025-01-09 18:44:243
O._tridentata,A,-4.193503782335701,-4.193503782335701,1,3,-1,restoration,2025-01-09 18:44:243
Other_species,A,-2.5976579999143317,-2.5976579999143317,1,3,-1,restoration,2025-01-09 18:44:243
H._squamatum,A,-3.039324004168797,-3.039324004168797,1,3,-1,natural,2025-01-09 18:44:243
H._syriacum,A,-3.6317474101685017,-3.6317474101685017,1,3,-1,natural,2025-01-09 18:44:243
T._zygis,A,-3.9373359797095047,-3.9373359797095047,1,3,-1,natural,2025-01-09 18:44:243
U._sp,A,-4.737651748903388,-4.737651748903388,1,3,-1,natural,2025-01-09 18:44:243
L._subulatum,A,-4.829495238152662,-4.829495238152662,1,3,-1,natural,2025-01-09 18:44:243
O._tridentata,A,-5.385582135426546,-5.385582135426546,1,3,-1,natural,2025-01-09 18:44:243
Other_species,A,-3.5546821036687124,-3.5546821036687124,1,3,-1,natural,2025-01-09 18:44:243
H._squamatum,A,-3.687238441033464,-3.687238441033464,1,3,-1,restoration,2025-01-09 18:44:203
H._syriacum,A,-2.9173113204336456,-2.9173113204336456,1,3,-1,restoration,2025-01-09 18:44:203
T._zygis,A,-1.6658267357415661,-1.6658267357415661,1,3,-1,restoration,2025-01-09 18:44:203
U._sp,A,-4.847415552997413,-4.847415552997413,1,3,-1,restoration,2025-01-09 18:44:203
L._subulatum,A,-3.7119354983903983,-3.7119354983903983,1,3,-1,restoration,2025-01-09 18:44:203
O._tridentata,A,-3.5431873633134137,-3.5431873633134137,1,3,-1,restoration,2025-01-09 18:44:203
Other_species,A,-3.169565985809403,-3.169565985809403,1,3,-1,restoration,2025-01-09 18:44:203
H._squamatum,A,-3.063553567544726,-3.063553567544726,1,3,-1,natural,2025-01-09 18:44:203
H._syriacum,A,-3.7379945745441012,-3.7379945745441012,1,3,-1,natural,2025-01-09 18:44:203
T._zygis,A,-3.6358434259580354,-3.6358434259580354,1,3,-1,natural,2025-01-09 18:44:203
U._sp,A,-5.191583087060243,-5.191583087060243,1,3,-1,natural,2025-01-09 18:44:203
L._subulatum,A,-5.3374435175706365,-5.3374435175706365,1,3,-1,natural,2025-01-09 18:44:203
O._tridentata,A,-6.004129906443007,-6.004129906443007,1,3,-1,natural,2025-01-09 18:44:203
