Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-3.901668374323439,-3.901668374323439,1,3,-1,restoration,2025-01-17 23:12:103
H._syriacum,A,-2.612141463666144,-2.612141463666144,1,3,-1,restoration,2025-01-17 23:12:103
T._zygis,A,-1.5540402906125816,-1.5540402906125816,1,3,-1,restoration,2025-01-17 23:12:103
U._sp,A,-4.624785178777784,-4.624785178777784,1,3,-1,restoration,2025-01-17 23:12:103
L._subulatum,A,-3.7949658535833484,-3.7949658535833484,1,3,-1,restoration,2025-01-17 23:12:103
O._tridentata,A,-5.35313473194193,-5.35313473194193,1,3,-1,restoration,2025-01-17 23:12:103
P._albicans,A,-5.261033613927569,-5.261033613927569,1,3,-1,restoration,2025-01-17 23:12:103
S._tenacissima,A,-5.2610180395594845,-5.2610180395594845,1,3,-1,restoration,2025-01-17 23:12:103
Other_species,A,-3.4564866497953375,-3.4564866497953375,1,3,-1,restoration,2025-01-17 23:12:103
H._squamatum,A,-2.8285002101408265,-2.8285002101408265,1,3,-1,natural,2025-01-17 23:12:103
H._syriacum,A,-3.9274410254619743,-3.9274410254619743,1,3,-1,natural,2025-01-17 23:12:103
T._zygis,A,-3.7582960479538934,-3.7582960479538934,1,3,-1,natural,2025-01-17 23:12:103
U._sp,A,-4.929594039586884,-4.929594039586884,1,3,-1,natural,2025-01-17 23:12:103
L._subulatum,A,-5.24415949138786,-5.24415949138786,1,3,-1,natural,2025-01-17 23:12:103
O._tridentata,A,-6.0080884632581215,-6.0080884632581215,1,3,-1,natural,2025-01-17 23:12:103
P._albicans,A,-6.854977672136166,-6.854977672136166,1,3,-1,natural,2025-01-17 23:12:103
S._tenacissima,A,-5.32793293943855,-5.32793293943855,1,3,-1,natural,2025-01-17 23:12:103
Other_species,A,-3.785863080513637,-3.785863080513637,1,3,-1,natural,2025-01-17 23:12:103
H._squamatum,A,-3.7655470816762153,-3.7655470816762153,1,3,-1,restoration,2025-01-17 23:11:593
H._syriacum,A,-2.7332369751061254,-2.7332369751061254,1,3,-1,restoration,2025-01-17 23:11:593
T._zygis,A,-1.4129944645259276,-1.4129944645259276,1,3,-1,restoration,2025-01-17 23:11:593
U._sp,A,-4.992823099235665,-4.992823099235665,1,3,-1,restoration,2025-01-17 23:11:593
L._subulatum,A,-3.720820273649327,-3.720820273649327,1,3,-1,restoration,2025-01-17 23:11:593
O._tridentata,A,-4.271168981155808,-4.271168981155808,1,3,-1,restoration,2025-01-17 23:11:593
P._albicans,A,-4.308794434560707,-4.308794434560707,1,3,-1,restoration,2025-01-17 23:11:593
S._tenacissima,A,-4.6155161078455045,-4.6155161078455045,1,3,-1,restoration,2025-01-17 23:11:593
Other_species,A,-3.298680500468902,-3.298680500468902,1,3,-1,restoration,2025-01-17 23:11:593
H._squamatum,A,-2.630460794064791,-2.630460794064791,1,3,-1,natural,2025-01-17 23:11:593
H._syriacum,A,-3.6289066313567453,-3.6289066313567453,1,3,-1,natural,2025-01-17 23:11:593
T._zygis,A,-3.698555766443779,-3.698555766443779,1,3,-1,natural,2025-01-17 23:11:593
U._sp,A,-4.516181713754154,-4.516181713754154,1,3,-1,natural,2025-01-17 23:11:593
L._subulatum,A,-4.460165254237238,-4.460165254237238,1,3,-1,natural,2025-01-17 23:11:593
O._tridentata,A,-5.680443156876473,-5.680443156876473,1,3,-1,natural,2025-01-17 23:11:593
P._albicans,A,-5.572167974375595,-5.572167974375595,1,3,-1,natural,2025-01-17 23:11:593
S._tenacissima,A,-6.67657730052133,-6.67657730052133,1,3,-1,natural,2025-01-17 23:11:593
Other_species,A,-3.648480348191976,-3.648480348191976,1,3,-1,natural,2025-01-17 23:11:593
H._squamatum,A,-3.6479699233976217,-3.6479699233976217,1,3,-1,restoration,2025-01-17 23:11:493
H._syriacum,A,-2.2045448033852253,-2.2045448033852253,1,3,-1,restoration,2025-01-17 23:11:493
T._zygis,A,-1.3055055854508946,-1.3055055854508946,1,3,-1,restoration,2025-01-17 23:11:493
U._sp,A,-5.296003720720705,-5.296003720720705,1,3,-1,restoration,2025-01-17 23:11:493
