Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,A,-2.428986212206767,-2.428986212206767,1,2,-1,restoration,2025-07-19 17:29:053
Nurse_G._struthium,A,-1.5704455476399815,-1.5704455476399815,1,2,-1,restoration,2025-07-19 17:29:053
H._squamatum,A,-6.4800438581582105,-6.4800438581582105,1,2,-1,restoration,2025-07-19 17:29:053
S._viscosa,A,-4.217590420623688,-4.217590420623688,1,2,-1,restoration,2025-07-19 17:29:053
C._hispanica,A,-7.135343593379301,-7.135343593379301,1,2,-1,restoration,2025-07-19 17:29:053
Other_species,A,-0.5326332871583334,-0.5326332871583334,1,2,-1,restoration,2025-07-19 17:29:053
Nurse_S._viscosa,A,-1.2332162135293652,-1.2332162135293652,1,2,-1,natural,2025-07-19 17:29:053
Nurse_G._struthium,A,-2.5485635895480057,-2.5485635895480057,1,2,-1,natural,2025-07-19 17:29:053
H._squamatum,A,-1.9285687416293396,-1.9285687416293396,1,2,-1,natural,2025-07-19 17:29:053
S._viscosa,A,-2.698816847026159,-2.698816847026159,1,2,-1,natural,2025-07-19 17:29:053
C._hispanica,A,-2.4981690636607037,-2.4981690636607037,1,2,-1,natural,2025-07-19 17:29:053
Other_species,A,-0.5932471968488445,-0.5932471968488445,1,2,-1,natural,2025-07-19 17:29:053
Nurse_S._viscosa,A,-4.841223031883271,-4.841223031883271,1,2,-1,restoration,2025-07-19 17:29:043
Nurse_G._struthium,A,-2.9024012425339465,-2.9024012425339465,1,2,-1,restoration,2025-07-19 17:29:043
H._squamatum,A,-5.44151616408039,-5.44151616408039,1,2,-1,restoration,2025-07-19 17:29:043
S._viscosa,A,-6.287592276769615,-6.287592276769615,1,2,-1,restoration,2025-07-19 17:29:043
C._hispanica,A,-8.286717648681707,-8.286717648681707,1,2,-1,restoration,2025-07-19 17:29:043
Other_species,A,-2.428027921470737,-2.428027921470737,1,2,-1,restoration,2025-07-19 17:29:043
Nurse_S._viscosa,A,-0.7706456829927241,-0.7706456829927241,1,2,-1,natural,2025-07-19 17:29:043
Nurse_G._struthium,A,-2.0739306007428993,-2.0739306007428993,1,2,-1,natural,2025-07-19 17:29:043
H._squamatum,A,-1.7179788111452778,-1.7179788111452778,1,2,-1,natural,2025-07-19 17:29:043
S._viscosa,A,-2.477318577199837,-2.477318577199837,1,2,-1,natural,2025-07-19 17:29:043
C._hispanica,A,-2.275240473040227,-2.275240473040227,1,2,-1,natural,2025-07-19 17:29:043
