n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
127,311.02370753824056,0.856120725544068,0.5743896769329321,333.0509420845746,366.62579105004545,560.1870208211117,1,1,-1,1,1000000,200,natural,2025-01-28 08:15:023
108,114.42047621471887,0.9378167480309849,0.7303891011570749,140.99130317072846,126.43199018082105,517.408305206408,1,2,-1,1,1000000,200,natural,2025-01-28 08:15:023
112,113.88237680245007,0.9570171404746884,0.7094054953558385,148.19083399850237,134.9665979183916,821.9663578883825,1,3,-1,1,1000000,200,natural,2025-01-28 08:15:023
127,329.41913473406805,0.8414075162741806,0.5709641383624013,351.4628423751184,385.12788714347954,559.1867846448904,1,1,-1,1,1000000,200,natural,2025-01-28 07:41:153
111,109.22662478211055,0.954616437943497,0.7125871367267022,155.74975065341783,132.32986202906122,820.3992050493861,1,2,-1,1,1000000,200,natural,2025-01-28 07:41:153
110,150.16538683089988,0.9047341126488275,0.699406337562494,196.7040508843436,179.0276223759904,952.5967599775597,1,3,-1,1,1000000,200,natural,2025-01-28 07:41:153
127,333.27578976907995,0.8466695489190288,0.5770971593220712,335.71138700312036,373.3246933302884,435.09263188336473,1,1,-1,1,1000000,200,natural,2025-01-28 07:08:553
113,115.34248121377794,0.939445496047006,0.7136672426338229,133.92213225237137,125.82538763998647,490.8942165703987,1,2,-1,1,1000000,200,natural,2025-01-28 07:08:553
112,169.13203698975283,0.8717680949867729,0.6940081243124573,181.11089544965228,180.98560339089934,469.7363751664467,1,3,-1,1,1000000,200,natural,2025-01-28 07:08:553
127,315.815582959672,0.8397494632243193,0.6047839281155952,315.75136484679916,358.0440759648341,411.34388864768164,1,1,-1,1,1000000,200,natural,2025-01-28 06:36:403
112,83.9924377081601,0.9794393758984684,0.7444024428197266,92.21127200704119,89.86550051889506,339.1345031578568,1,2,-1,1,1000000,200,natural,2025-01-28 06:36:403
116,135.78725016861583,0.9489725529866094,0.6888260247185342,153.44443289066476,149.02992768882675,601.2468835200127,1,3,-1,1,1000000,200,natural,2025-01-28 06:36:403
127,291.5159643080783,0.8546948080673131,0.629353349736329,290.73255701700924,324.07395162288117,370.9705655308643,1,1,-1,1,1000000,200,natural,2025-01-28 06:04:413
