Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,A,-3.398280216445454,-3.398280216445454,1,2,-1,restoration,2025-01-08 12:25:303
Nurse_G._struthium,A,-1.265031294773982,-1.265031294773982,1,2,-1,restoration,2025-01-08 12:25:303
H._squamatum,A,-3.27407335862894,-3.27407335862894,1,2,-1,restoration,2025-01-08 12:25:303
S._viscosa,A,-5.281920303378041,-5.281920303378041,1,2,-1,restoration,2025-01-08 12:25:303
C._hispanica,A,-6.126908751135381,-6.126908751135381,1,2,-1,restoration,2025-01-08 12:25:303
G._struthium,A,-0.1379037758664475,-0.1379037758664475,1,2,-1,restoration,2025-01-08 12:25:303
Other_species,A,-2.200731824648641,-2.200731824648641,1,2,-1,restoration,2025-01-08 12:25:303
Nurse_S._viscosa,A,-1.7786558413922449,-1.7786558413922449,1,3,-1,restoration,2025-01-08 12:25:303
Nurse_G._struthium,A,-0.7634146731217539,-0.7634146731217539,1,3,-1,restoration,2025-01-08 12:25:303
H._squamatum,A,-4.6318934756178,-4.6318934756178,1,3,-1,restoration,2025-01-08 12:25:303
S._viscosa,A,-3.1039862317879297,-3.1039862317879297,1,3,-1,restoration,2025-01-08 12:25:303
C._hispanica,A,-6.16581872869738,-6.16581872869738,1,3,-1,restoration,2025-01-08 12:25:303
G._struthium,A,-0.6707093856757808,-0.6707093856757808,1,3,-1,restoration,2025-01-08 12:25:303
Other_species,A,-1.8092889221651973,-1.8092889221651973,1,3,-1,restoration,2025-01-08 12:25:303
Nurse_S._viscosa,A,-0.8983351899523536,-0.8983351899523536,1,2,-1,natural,2025-01-08 12:25:303
Nurse_G._struthium,A,-2.529701764006465,-2.529701764006465,1,2,-1,natural,2025-01-08 12:25:303
H._squamatum,A,-1.809645868539524,-1.809645868539524,1,2,-1,natural,2025-01-08 12:25:303
S._viscosa,A,-2.4580935970694724,-2.4580935970694724,1,2,-1,natural,2025-01-08 12:25:303
C._hispanica,A,-3.0164044044213543,-3.0164044044213543,1,2,-1,natural,2025-01-08 12:25:303
G._struthium,A,-6.191259225722233,-6.191259225722233,1,2,-1,natural,2025-01-08 12:25:303
Other_species,A,-0.6045227230471641,-0.6045227230471641,1,2,-1,natural,2025-01-08 12:25:303
Nurse_S._viscosa,A,-2.272521589049059,-2.272521589049059,1,3,-1,natural,2025-01-08 12:25:303
Nurse_G._struthium,A,-3.8338404982673633,-3.8338404982673633,1,3,-1,natural,2025-01-08 12:25:303
H._squamatum,A,-2.277902651012898,-2.277902651012898,1,3,-1,natural,2025-01-08 12:25:303
S._viscosa,A,-3.7623340352506975,-3.7623340352506975,1,3,-1,natural,2025-01-08 12:25:303
C._hispanica,A,-3.7935632590746873,-3.7935632590746873,1,3,-1,natural,2025-01-08 12:25:303
G._struthium,A,-4.01110734219633,-4.01110734219633,1,3,-1,natural,2025-01-08 12:25:303
Other_species,A,-1.6211754156292721,-1.6211754156292721,1,3,-1,natural,2025-01-08 12:25:303
Nurse_S._viscosa,A,-3.935156316609824,-3.935156316609824,1,2,-1,restoration,2025-01-08 12:25:283
Nurse_G._struthium,A,-2.538648766415349,-2.538648766415349,1,2,-1,restoration,2025-01-08 12:25:283
H._squamatum,A,-5.266861897603395,-5.266861897603395,1,2,-1,restoration,2025-01-08 12:25:283
S._viscosa,A,-5.326264650668574,-5.326264650668574,1,2,-1,restoration,2025-01-08 12:25:283
C._hispanica,A,-4.613554371645846,-4.613554371645846,1,2,-1,restoration,2025-01-08 12:25:283
G._struthium,A,-1.4608631515012311,-1.4608631515012311,1,2,-1,restoration,2025-01-08 12:25:283
Other_species,A,-3.5616035940477864,-3.5616035940477864,1,2,-1,restoration,2025-01-08 12:25:283
Nurse_S._viscosa,A,-1.568574771159008,-1.568574771159008,1,3,-1,restoration,2025-01-08 12:25:283
Nurse_G._struthium,A,-1.5920790275886232,-1.5920790275886232,1,3,-1,restoration,2025-01-08 12:25:283
H._squamatum,A,-5.727780347762434,-5.727780347762434,1,3,-1,restoration,2025-01-08 12:25:283
S._viscosa,A,-3.5174850498906296,-3.5174850498906296,1,3,-1,restoration,2025-01-08 12:25:283
