Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,A,-3.013180847980853,-3.013180847980853,1,2,-1,restoration,2025-07-19 17:33:513
Nurse_G._struthium,A,-1.865386528340671,-1.865386528340671,1,2,-1,restoration,2025-07-19 17:33:513
H._squamatum,A,-3.9577868568742636,-3.9577868568742636,1,2,-1,restoration,2025-07-19 17:33:513
S._viscosa,A,-4.676268022799939,-4.676268022799939,1,2,-1,restoration,2025-07-19 17:33:513
C._hispanica,A,-6.174994296865649,-6.174994296865649,1,2,-1,restoration,2025-07-19 17:33:513
G._struthium,A,-0.7417513139971548,-0.7417513139971548,1,2,-1,restoration,2025-07-19 17:33:513
S._sediforme,A,-3.488964727339758,-3.488964727339758,1,2,-1,restoration,2025-07-19 17:33:513
Other_species,A,-3.219686253038025,-3.219686253038025,1,2,-1,restoration,2025-07-19 17:33:513
Nurse_S._viscosa,A,-0.8075237576761777,-0.8075237576761777,1,2,-1,natural,2025-07-19 17:33:513
Nurse_G._struthium,A,-2.4305633904931176,-2.4305633904931176,1,2,-1,natural,2025-07-19 17:33:513
H._squamatum,A,-1.9304980573083976,-1.9304980573083976,1,2,-1,natural,2025-07-19 17:33:513
S._viscosa,A,-2.587633130789635,-2.587633130789635,1,2,-1,natural,2025-07-19 17:33:513
C._hispanica,A,-2.5471143416052278,-2.5471143416052278,1,2,-1,natural,2025-07-19 17:33:513
G._struthium,A,-4.276324083991266,-4.276324083991266,1,2,-1,natural,2025-07-19 17:33:513
S._sediforme,A,-3.5960223615003515,-3.5960223615003515,1,2,-1,natural,2025-07-19 17:33:513
Other_species,A,-0.722590310310631,-0.722590310310631,1,2,-1,natural,2025-07-19 17:33:513
Nurse_S._viscosa,A,-2.5132214052325232,-2.5132214052325232,1,2,-1,restoration,2025-07-19 17:33:503
Nurse_G._struthium,A,-1.7450339321340218,-1.7450339321340218,1,2,-1,restoration,2025-07-19 17:33:503
H._squamatum,A,-4.135795459454243,-4.135795459454243,1,2,-1,restoration,2025-07-19 17:33:503
S._viscosa,A,-4.531940292317343,-4.531940292317343,1,2,-1,restoration,2025-07-19 17:33:503
C._hispanica,A,-5.449472012909721,-5.449472012909721,1,2,-1,restoration,2025-07-19 17:33:503
G._struthium,A,-0.9462208628540885,-0.9462208628540885,1,2,-1,restoration,2025-07-19 17:33:503
S._sediforme,A,-4.4544627369040155,-4.4544627369040155,1,2,-1,restoration,2025-07-19 17:33:503
Other_species,A,-2.3251115828209814,-2.3251115828209814,1,2,-1,restoration,2025-07-19 17:33:503
Nurse_S._viscosa,A,-0.8110093330942041,-0.8110093330942041,1,2,-1,natural,2025-07-19 17:33:503
Nurse_G._struthium,A,-2.2473215815931287,-2.2473215815931287,1,2,-1,natural,2025-07-19 17:33:503
H._squamatum,A,-1.6938958916796596,-1.6938958916796596,1,2,-1,natural,2025-07-19 17:33:503
S._viscosa,A,-2.3913610024361556,-2.3913610024361556,1,2,-1,natural,2025-07-19 17:33:503
C._hispanica,A,-2.6530078531283583,-2.6530078531283583,1,2,-1,natural,2025-07-19 17:33:503
G._struthium,A,-4.11467771632659,-4.11467771632659,1,2,-1,natural,2025-07-19 17:33:503
S._sediforme,A,-3.6071079132844606,-3.6071079132844606,1,2,-1,natural,2025-07-19 17:33:503
Other_species,A,-0.7756210478937302,-0.7756210478937302,1,2,-1,natural,2025-07-19 17:33:503
Nurse_S._viscosa,A,-2.8547002837475057,-2.8547002837475057,1,2,-1,restoration,2025-07-19 17:33:503
Nurse_G._struthium,A,-1.4585992061794457,-1.4585992061794457,1,2,-1,restoration,2025-07-19 17:33:503
H._squamatum,A,-3.7495780802361884,-3.7495780802361884,1,2,-1,restoration,2025-07-19 17:33:503
S._viscosa,A,-6.8277486822241595,-6.8277486822241595,1,2,-1,restoration,2025-07-19 17:33:503
C._hispanica,A,-6.537035649248598,-6.537035649248598,1,2,-1,restoration,2025-07-19 17:33:503
G._struthium,A,-0.4865815298296779,-0.4865815298296779,1,2,-1,restoration,2025-07-19 17:33:503
S._sediforme,A,-4.380133681073265,-4.380133681073265,1,2,-1,restoration,2025-07-19 17:33:503
Other_species,A,-2.8350671436582697,-2.8350671436582697,1,2,-1,restoration,2025-07-19 17:33:503
Nurse_S._viscosa,A,-1.0701887343957595,-1.0701887343957595,1,2,-1,natural,2025-07-19 17:33:503
Nurse_G._struthium,A,-2.413317763753611,-2.413317763753611,1,2,-1,natural,2025-07-19 17:33:503
H._squamatum,A,-1.8636361193546138,-1.8636361193546138,1,2,-1,natural,2025-07-19 17:33:503
S._viscosa,A,-2.593178594822257,-2.593178594822257,1,2,-1,natural,2025-07-19 17:33:503
C._hispanica,A,-2.5882571148978393,-2.5882571148978393,1,2,-1,natural,2025-07-19 17:33:503
G._struthium,A,-4.509708373310407,-4.509708373310407,1,2,-1,natural,2025-07-19 17:33:503
S._sediforme,A,-3.3232124719451392,-3.3232124719451392,1,2,-1,natural,2025-07-19 17:33:503
Other_species,A,-0.8713696935863041,-0.8713696935863041,1,2,-1,natural,2025-07-19 17:33:503
Nurse_S._viscosa,A,-2.366205487126891,-2.366205487126891,1,2,-1,restoration,2025-07-19 17:33:493
Nurse_G._struthium,A,-1.463386260038473,-1.463386260038473,1,2,-1,restoration,2025-07-19 17:33:493
H._squamatum,A,-3.8812367353931028,-3.8812367353931028,1,2,-1,restoration,2025-07-19 17:33:493
S._viscosa,A,-4.859218622537875,-4.859218622537875,1,2,-1,restoration,2025-07-19 17:33:493
C._hispanica,A,-7.057856661616906,-7.057856661616906,1,2,-1,restoration,2025-07-19 17:33:493
G._struthium,A,-0.748379550127792,-0.748379550127792,1,2,-1,restoration,2025-07-19 17:33:493
S._sediforme,A,-4.016239048229899,-4.016239048229899,1,2,-1,restoration,2025-07-19 17:33:493
Other_species,A,-2.4533279984863756,-2.4533279984863756,1,2,-1,restoration,2025-07-19 17:33:493
Nurse_S._viscosa,A,-0.8197543520092092,-0.8197543520092092,1,2,-1,natural,2025-07-19 17:33:493
Nurse_G._struthium,A,-2.189958156477912,-2.189958156477912,1,2,-1,natural,2025-07-19 17:33:493
