Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,A,-2.4325329750522755,-2.4325329750522755,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,A,-1.0902155660281183,-1.0902155660281183,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,A,-3.877520656336811,-3.877520656336811,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,A,-3.9222823247538448,-3.9222823247538448,1,2,-1,restoration,2025-07-19 17:38:013
C._hispanica,A,-6.466689152716567,-6.466689152716567,1,2,-1,restoration,2025-07-19 17:38:013
G._struthium,A,-0.11879015842852764,-0.11879015842852764,1,2,-1,restoration,2025-07-19 17:38:013
S._sediforme,A,-3.4170669611625994,-3.4170669611625994,1,2,-1,restoration,2025-07-19 17:38:013
H._syriacum,A,-4.224885230575887,-4.224885230575887,1,2,-1,restoration,2025-07-19 17:38:013
Other_species,A,-2.215447884482235,-2.215447884482235,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,A,-1.0422307606632983,-1.0422307606632983,1,2,-1,natural,2025-07-19 17:38:013
Nurse_G._struthium,A,-2.5006585334539784,-2.5006585334539784,1,2,-1,natural,2025-07-19 17:38:013
H._squamatum,A,-1.9220450034457874,-1.9220450034457874,1,2,-1,natural,2025-07-19 17:38:013
S._viscosa,A,-2.9394932785778414,-2.9394932785778414,1,2,-1,natural,2025-07-19 17:38:013
C._hispanica,A,-2.5289241698697302,-2.5289241698697302,1,2,-1,natural,2025-07-19 17:38:013
G._struthium,A,-4.424413203232864,-4.424413203232864,1,2,-1,natural,2025-07-19 17:38:013
S._sediforme,A,-3.2140468687173724,-3.2140468687173724,1,2,-1,natural,2025-07-19 17:38:013
H._syriacum,A,-3.3445922029931636,-3.3445922029931636,1,2,-1,natural,2025-07-19 17:38:013
Other_species,A,-0.955482897458266,-0.955482897458266,1,2,-1,natural,2025-07-19 17:38:013
Nurse_S._viscosa,A,-2.49534439218112,-2.49534439218112,1,2,-1,restoration,2025-07-19 17:38:003
Nurse_G._struthium,A,-1.7287150960400663,-1.7287150960400663,1,2,-1,restoration,2025-07-19 17:38:003
H._squamatum,A,-4.98285675106187,-4.98285675106187,1,2,-1,restoration,2025-07-19 17:38:003
S._viscosa,A,-5.2514436997899585,-5.2514436997899585,1,2,-1,restoration,2025-07-19 17:38:003
C._hispanica,A,-5.143758028881894,-5.143758028881894,1,2,-1,restoration,2025-07-19 17:38:003
G._struthium,A,-0.7208981950130436,-0.7208981950130436,1,2,-1,restoration,2025-07-19 17:38:003
S._sediforme,A,-3.7521389619691936,-3.7521389619691936,1,2,-1,restoration,2025-07-19 17:38:003
H._syriacum,A,-4.875016647906271,-4.875016647906271,1,2,-1,restoration,2025-07-19 17:38:003
Other_species,A,-2.825240575855036,-2.825240575855036,1,2,-1,restoration,2025-07-19 17:38:003
Nurse_S._viscosa,A,-0.9026949600713543,-0.9026949600713543,1,2,-1,natural,2025-07-19 17:38:003
Nurse_G._struthium,A,-2.2500385950261514,-2.2500385950261514,1,2,-1,natural,2025-07-19 17:38:003
H._squamatum,A,-1.6983472081801185,-1.6983472081801185,1,2,-1,natural,2025-07-19 17:38:003
S._viscosa,A,-2.4870319061740926,-2.4870319061740926,1,2,-1,natural,2025-07-19 17:38:003
C._hispanica,A,-2.3547712287808777,-2.3547712287808777,1,2,-1,natural,2025-07-19 17:38:003
G._struthium,A,-3.946872140108138,-3.946872140108138,1,2,-1,natural,2025-07-19 17:38:003
S._sediforme,A,-3.447446236539567,-3.447446236539567,1,2,-1,natural,2025-07-19 17:38:003
H._syriacum,A,-3.890277714325927,-3.890277714325927,1,2,-1,natural,2025-07-19 17:38:003
Other_species,A,-0.8386031262733046,-0.8386031262733046,1,2,-1,natural,2025-07-19 17:38:003
Nurse_S._viscosa,A,-2.4765009930969373,-2.4765009930969373,1,2,-1,restoration,2025-07-19 17:37:593
Nurse_G._struthium,A,-1.543508480459113,-1.543508480459113,1,2,-1,restoration,2025-07-19 17:37:593
H._squamatum,A,-4.783405711931446,-4.783405711931446,1,2,-1,restoration,2025-07-19 17:37:593
S._viscosa,A,-3.7406067831751666,-3.7406067831751666,1,2,-1,restoration,2025-07-19 17:37:593
C._hispanica,A,-6.342422040848786,-6.342422040848786,1,2,-1,restoration,2025-07-19 17:37:593
G._struthium,A,-0.5451291777010099,-0.5451291777010099,1,2,-1,restoration,2025-07-19 17:37:593
S._sediforme,A,-3.665982622302665,-3.665982622302665,1,2,-1,restoration,2025-07-19 17:37:593
H._syriacum,A,-4.543084625422198,-4.543084625422198,1,2,-1,restoration,2025-07-19 17:37:593
Other_species,A,-2.26479579008477,-2.26479579008477,1,2,-1,restoration,2025-07-19 17:37:593
Nurse_S._viscosa,A,-1.056000422146551,-1.056000422146551,1,2,-1,natural,2025-07-19 17:37:593
Nurse_G._struthium,A,-2.6415839423291554,-2.6415839423291554,1,2,-1,natural,2025-07-19 17:37:593
H._squamatum,A,-1.689452306169566,-1.689452306169566,1,2,-1,natural,2025-07-19 17:37:593
S._viscosa,A,-2.4363546909566716,-2.4363546909566716,1,2,-1,natural,2025-07-19 17:37:593
C._hispanica,A,-2.6376022781539645,-2.6376022781539645,1,2,-1,natural,2025-07-19 17:37:593
G._struthium,A,-5.693616146246812,-5.693616146246812,1,2,-1,natural,2025-07-19 17:37:593
S._sediforme,A,-3.391877939942623,-3.391877939942623,1,2,-1,natural,2025-07-19 17:37:593
H._syriacum,A,-4.132300283314664,-4.132300283314664,1,2,-1,natural,2025-07-19 17:37:593
Other_species,A,-0.8323721196669929,-0.8323721196669929,1,2,-1,natural,2025-07-19 17:37:593
Nurse_S._viscosa,A,-3.9148913887136896,-3.9148913887136896,1,2,-1,restoration,2025-07-19 17:37:593
Nurse_G._struthium,A,-2.221249206111656,-2.221249206111656,1,2,-1,restoration,2025-07-19 17:37:593
H._squamatum,A,-4.071988422262973,-4.071988422262973,1,2,-1,restoration,2025-07-19 17:37:593
S._viscosa,A,-5.004676783457204,-5.004676783457204,1,2,-1,restoration,2025-07-19 17:37:593
C._hispanica,A,-5.966530276808325,-5.966530276808325,1,2,-1,restoration,2025-07-19 17:37:593
G._struthium,A,-1.1377546392830435,-1.1377546392830435,1,2,-1,restoration,2025-07-19 17:37:593
S._sediforme,A,-4.897288157152193,-4.897288157152193,1,2,-1,restoration,2025-07-19 17:37:593
H._syriacum,A,-5.105090396059137,-5.105090396059137,1,2,-1,restoration,2025-07-19 17:37:593
Other_species,A,-2.925203751136616,-2.925203751136616,1,2,-1,restoration,2025-07-19 17:37:593
Nurse_S._viscosa,A,-1.1308958068751713,-1.1308958068751713,1,2,-1,natural,2025-07-19 17:37:593
Nurse_G._struthium,A,-2.4474475769500526,-2.4474475769500526,1,2,-1,natural,2025-07-19 17:37:593
H._squamatum,A,-1.7572205275476749,-1.7572205275476749,1,2,-1,natural,2025-07-19 17:37:593
S._viscosa,A,-2.8446948072049447,-2.8446948072049447,1,2,-1,natural,2025-07-19 17:37:593
C._hispanica,A,-2.632453589227106,-2.632453589227106,1,2,-1,natural,2025-07-19 17:37:593
G._struthium,A,-3.7265958666026515,-3.7265958666026515,1,2,-1,natural,2025-07-19 17:37:593
S._sediforme,A,-2.99620214039248,-2.99620214039248,1,2,-1,natural,2025-07-19 17:37:593
H._syriacum,A,-3.3699106627254456,-3.3699106627254456,1,2,-1,natural,2025-07-19 17:37:593
Other_species,A,-0.6657468707860118,-0.6657468707860118,1,2,-1,natural,2025-07-19 17:37:593
Nurse_S._viscosa,A,-2.4585040654603922,-2.4585040654603922,1,2,-1,restoration,2025-07-19 17:37:583
Nurse_G._struthium,A,-1.7948634176883926,-1.7948634176883926,1,2,-1,restoration,2025-07-19 17:37:583
H._squamatum,A,-5.406507085035491,-5.406507085035491,1,2,-1,restoration,2025-07-19 17:37:583
S._viscosa,A,-3.6535310649686537,-3.6535310649686537,1,2,-1,restoration,2025-07-19 17:37:583
