Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,Nurse_G._struthium,-9.12586418812636,-9.12586418812636,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,H._squamatum,0.252348298200526,0.252348298200526,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,H._squamatum,1.74204506994033,1.74204506994033,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,S._viscosa,2.29579113839879,2.29579113839879,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,S._viscosa,-0.501498352083947,-0.501498352083947,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,S._viscosa,0.940593149328002,0.940593149328002,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,C._hispanica,3.64093771009038,3.64093771009038,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,C._hispanica,0.636097921498812,0.636097921498812,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,C._hispanica,0.68367388479838,0.68367388479838,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,C._hispanica,0.0858932418920157,0.0858932418920157,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,G._struthium,-0.26201226801919,-0.26201226801919,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,G._struthium,-0.397856220507706,-0.397856220507706,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,G._struthium,-1.50273167887311,-1.50273167887311,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,G._struthium,0.0883863115147778,0.0883863115147778,1,2,-1,restoration,2025-07-19 17:38:013
C._hispanica,G._struthium,0.211280221184509,0.211280221184509,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,S._sediforme,3.11970892715903,3.11970892715903,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,S._sediforme,2.14277027551546,2.14277027551546,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,S._sediforme,0.409272719398721,0.409272719398721,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,S._sediforme,0.740344759147246,0.740344759147246,1,2,-1,restoration,2025-07-19 17:38:013
C._hispanica,S._sediforme,-0.111745511116345,-0.111745511116345,1,2,-1,restoration,2025-07-19 17:38:013
G._struthium,S._sediforme,-0.0911686828947697,-0.0911686828947697,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,H._syriacum,-0.48660189407473,-0.48660189407473,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,H._syriacum,1.23998177711214,1.23998177711214,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,H._syriacum,0.746327001273658,0.746327001273658,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,H._syriacum,-0.151563853579219,-0.151563853579219,1,2,-1,restoration,2025-07-19 17:38:013
C._hispanica,H._syriacum,2.21452192176511,2.21452192176511,1,2,-1,restoration,2025-07-19 17:38:013
G._struthium,H._syriacum,0.116950264972754,0.116950264972754,1,2,-1,restoration,2025-07-19 17:38:013
S._sediforme,H._syriacum,-0.656053228743071,-0.656053228743071,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,Other_species,1.14218988435522,1.14218988435522,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_G._struthium,Other_species,2.01455429942463,2.01455429942463,1,2,-1,restoration,2025-07-19 17:38:013
H._squamatum,Other_species,0.665331778042829,0.665331778042829,1,2,-1,restoration,2025-07-19 17:38:013
S._viscosa,Other_species,1.40109005527155,1.40109005527155,1,2,-1,restoration,2025-07-19 17:38:013
C._hispanica,Other_species,0.603197439033517,0.603197439033517,1,2,-1,restoration,2025-07-19 17:38:013
G._struthium,Other_species,0.188089116915608,0.188089116915608,1,2,-1,restoration,2025-07-19 17:38:013
S._sediforme,Other_species,0.910483014191738,0.910483014191738,1,2,-1,restoration,2025-07-19 17:38:013
H._syriacum,Other_species,0.820788629305734,0.820788629305734,1,2,-1,restoration,2025-07-19 17:38:013
Nurse_S._viscosa,Nurse_G._struthium,-6.85514399408949,-6.85514399408949,1,2,-1,natural,2025-07-19 17:38:013
Nurse_S._viscosa,H._squamatum,1.1659332582007,1.1659332582007,1,2,-1,natural,2025-07-19 17:38:013
Nurse_G._struthium,H._squamatum,0.707825203244008,0.707825203244008,1,2,-1,natural,2025-07-19 17:38:013
Nurse_S._viscosa,S._viscosa,-0.469420005979131,-0.469420005979131,1,2,-1,natural,2025-07-19 17:38:013
Nurse_G._struthium,S._viscosa,1.10794107484979,1.10794107484979,1,2,-1,natural,2025-07-19 17:38:013
H._squamatum,S._viscosa,1.14167501449944,1.14167501449944,1,2,-1,natural,2025-07-19 17:38:013
Nurse_S._viscosa,C._hispanica,0.762554891115572,0.762554891115572,1,2,-1,natural,2025-07-19 17:38:013
Nurse_G._struthium,C._hispanica,0.0208639819510047,0.0208639819510047,1,2,-1,natural,2025-07-19 17:38:013
H._squamatum,C._hispanica,0.760452155771245,0.760452155771245,1,2,-1,natural,2025-07-19 17:38:013
S._viscosa,C._hispanica,0.908061895400337,0.908061895400337,1,2,-1,natural,2025-07-19 17:38:013
